工	a
间	uj
部	uk
曾	ul
商	um
决	un
普	uo
帝	up
交	uq
瓣	ur
亲	us
产	ut
立	uu
妆	uv
闪	uw
北	ux
六	uy
毁	va
好	vb
妈	vc
姑	vd
奶	ve
寻	vf
姨	vg
录	vi
旭	vj
如	vk
舅	vl
刀	vn
灵	vo
巡	vp
婚	vq
杂	vs
九	vt
嫌	vu
妇	vv
姆	vx
妨	vy
代	wa
他	wb
公	wc
估	wd
仍	we
会	wf
全	wg
个	wh
偿	wi
介	wj
保	wk
佃	wl
仙	wm
亿	wn
伙	wo
你	wq
伯	wr
休	ws
作	wt
们	wu
分	wv
从	ww
化	wx
信	wy
红	xa
弛	xb
经	xc
顷	xd
级	xe
结	xf
线	xg
引	xh
纱	xi
旨	xj
强	xk
细	xl
纲	xm
纪	xn
继	xo
综	xp
约	xq
绵	xr
张	xt
弱	xu
绿	xv
给	xw
比	xx
纺	xy
度	ya
离	yb
充	yc
庆	yd
衣	ye
计	yf
主	yg
让	yh
就	yi
刘	yj
训	yk
为	yl
高	ym
记	yn
变	yo
这	yp
义	yq
诉	yr
订	ys
放	yt
说	yu
良	yv
认	yw
率	yx
方	yy
工	aaa
式	aad
匞	aad
芽	aah
戒	aak
芅	aau
荫	abe
茸	abf
芓	abf
邛	abh
卭	abh
节	abj
茁	abm
萨	abu
匜	abv
茎	aca
芭	acb
苔	ack
䔍	acu
莽	ada
弎	add
戎	ade
苦	adf
荐	adh
藉	adi
若	adk
项	adm
茂	adn
芖	adu
其	adw
藐	aee
苚	aej
艿	aer
菜	aes
散	aet
㣉	aet
藤	aeu
邯	afb
靶	afc
甘	afd
弍	afd
芏	aff
蒜	afi
革	afj
芉	afj
勒	afl
贰	afm
苇	afn
鞍	afp
鞠	afq
靳	afr
某	afs
蔷	afu
鞭	afw
荆	aga
匡	agd
弌	agd
莆	age
芋	agf
七	agn
匚	agn
匸	agn
莱	ago
葬	agq
苹	agu
菲	ahd
芷	ahf
苜	ahf
䒙	ahf
熙	ahk
㐄	ahk
臣	ahn
牙	aht
范	aib
薄	aig
菠	aih
东	aii
藻	aik
荡	ain
菏	ais
落	ait
汞	aiu
䒕	aiu
茫	aiy
莫	ajd
萌	aje
昔	ajf
䒤	ajf
划	ajh
㓚	ajh
草	ajj
蔓	ajl
葛	ajq
蓝	ajt
茧	aju
叵	akd
戓	akd
或	akg
颧	akk
茵	ald
苗	alf
莗	alj
匣	alk
荔	all
莲	alp
萝	alq
艻	alr
功	alt
苏	alw
芁	amb
英	amd
苖	amf
匝	amh
贡	amu
貣	amu
黄	amw
巩	amy
艺	anb
芑	anb
巨	and
蔚	anf
蔬	anh
忒	ani
蕊	ann
芯	anu
世	anv
炗	aou
苂	aou
蒙	apf
莹	apg
萤	apj
营	apk
劳	apl
荧	apo
荣	aps
芝	apu
蓉	apw
苑	aqb
菳	aqf
葡	aqg
区	aqi
敬	aqk
殴	aqm
苞	aqn
菊	aqo
欧	aqq
萄	aqr
获	aqt
艾	aqu
芕	aqu
匹	aqv
兂	aqv
旡	aqv
芍	aqy
苩	arf
芹	arj
匠	ark
茜	asf
苯	asg
艼	asj
苛	ask
㭉	asu
医	atd
董	atg
莉	atj
蓖	atl
䒘	atu
䒩	atu
萎	atv
攻	aty
苙	auf
菛	auf
莘	auj
菩	auk
蔽	aum
蒂	aup
蒋	auq
薪	aus
艽	avb
菇	avd
茹	avk
芀	avr
切	avt
㓛	avt
苍	awb
蔡	awf
葵	awg
芥	awj
巷	awn
茶	aws
共	awu
䒔	awu
芬	awv
巫	aww
花	awx
蕉	awy
芎	axb
蕴	axj
药	axq
蔗	aya
䓂	ayf
蔼	ayj
蓑	ayk
芒	ayn
芳	ayr
蘑	ays
芠	ayu
蓄	ayx
陈	bai
聀	bay
子	bbb
孖	bbg
聑	bbg
䦻	bbg
耶	bbh
阤	bbn
聚	bct
娶	bcv
取	bcy
䧞	bcy
隋	bda
随	bde
承	bdi
陌	bdj
陇	bdx
阴	beg
䎳	beg
孺	bfd
陡	bfh
䦹	bfh
际	bfi
陆	bfm
阮	bfq
陵	bfw
卫	bgd
孒	bgd
耳	bgh
隔	bgk
陋	bgm
陕	bgu
耻	bhg
屮	bhk
函	bib
氶	bii
隙	bij
逊	bip
孙	biy
阥	biy
阳	bjg
刵	bjh
隅	bjm
叾	bkf
陨	bkm
职	bkw
孟	blf
䧃	blg
阵	blh
阞	blt
祟	bmf
聘	bmg
出	bmk
孭	bmy
了	bnh
卩	bnh
阝	bnh
凵	bnh
孔	bnn
巜	bnn
耴	bnn
⺋	bnn
㔾	bnn
䎲	bnn
孞	bnu
耿	boy
阦	boy
䢊	bpd
院	bpf
辽	bpk
耽	bpq
陀	bpx
陶	bqr
聊	bqt
陷	bqv
孤	brc
䧈	bsg
耵	bsh
䦺	bsh
阿	bsk
降	bta
隆	btg
孜	bty
联	bud
隧	bue
障	buj
陪	buk
隘	buw
限	bve
附	bwf
险	bwg
阶	bwj
除	bwt
队	bwy
陛	bxx
孓	byi
卪	byi
防	byt
颈	cad
弁	caj
馵	caj
劲	cal
驱	caq
戏	cay
骤	cbc
预	cbd
駬	cbg
邓	cbh
䣕	cbh
予	cbj
驰	cbn
豫	cbq
矛	cbt
又	ccc
㕕	ccu
㕛	ccu
骏	ccw
双	ccy
驭	ccy
厸	ccy
騳	ccy
叁	cdd
参	cde
骑	cds
驮	cdy
䭾	cdy
䏍	cef
甬	cej
勇	cel
恿	cen
通	cep
能	cex
圣	cff
馯	cfh
䭴	cfj
对	cfy
厼	ciu
馹	cjg
驲	cjg
台	ckf
驯	ckh
怠	ckn
驶	ckq
驷	clg
劝	clt
骡	clx
骋	cmg
駎	cmg
岊	cmj
观	cmq
貟	cmu
贠	cmu
巴	cnh
马	cnn
厶	cny
	cny
遤	cpi
驼	cpx
允	cqb
驹	cqk
驳	cqq
欢	cqw
鸡	cqy
牟	crh
馸	crh
矣	ctd
骆	ctk
駇	cty
騂	cuh
骍	cuh
艰	cve
验	cwg
难	cwy
驻	cyg
叉	cyi
蚤	cyj
驴	cyn
馼	cyy
左	daf
矼	dag
㚏	daj
磺	dam
碟	dan
砌	dav
䂝	day
顾	dbd
耷	dbf
矷	dbg
䂙	dbh
㚎	dbj
础	dbm
厄	dbv
夿	dcb
码	dcg
友	dcu
厷	dcu
厺	dcu
犮	dcu
㕝	dcu
雄	dcw
磊	ddd
㕆	ddd
碱	ddg
砳	ddg
厦	ddh
厌	ddi
硕	ddm
厉	ddn
套	ddu
㚐	ddu
夶	ddy
㹜	ddy
郁	deb
硼	dee
有	def
胡	deg
砽	deh
鬃	dep
髟	det
奔	dfa
磕	dfc
圧	dfd
辰	dfe
硅	dff
圶	dff
夳	dff
矸	dfh
奈	dfi
夲	dfj
厈	dfk
夸	dfn
奢	dft
夺	dfu
压	dfy
研	dga
古	dgh
硬	dgj
咸	dgk
戌	dgn
厂	dgt
丆	dgt
	dgt
砰	dgu
威	dgv
存	dhb
破	dhc
在	dhf
砋	dhg
丰	dhk
艳	dhq
夏	dht
契	dhv
耙	dic
硝	die
耕	dif
耒	dii
砂	dit
泵	diu
夵	diu
砅	diy
厚	djb
百	djf
碍	djg
砷	djh
矵	djh
夰	djj
奄	djn
右	dkf
夻	dkf
夼	dkj
历	dle
奋	dlf
䦉	dlg
砗	dlh
厍	dlk
㕅	dlk
夯	dlr
劯	dlt
碘	dma
冇	dmb
碳	dmd
碉	dmf
布	dmh
而	dmj
㞭	dmj
矶	dmn
砚	dmq
页	dmu
矾	dmy
碾	dna
乭	dnb
䎁	dng
成	dnn
迈	dnp
戊	dnt
怘	dnu
万	dnv
尤	dnv
尢	dnv
盔	dol
磷	doq
灰	dou
达	dpi
迖	dpi
碗	dpq
牵	dpr
克	dqb
兢	dqd
㕋	dqd
确	dqe
碒	dqg
砾	dqi
爽	dqq
砍	dqw
矽	dqy
砶	drg
斫	drh
原	dri
碑	drt
硒	dsg
厢	dsh
矴	dsh
碴	dsj
厅	dsk
㚓	dsu
䂞	dsu
邦	dtb
寿	dtf
故	dty
磋	dud
㕇	dud
砬	dug
辜	duj
厗	duk
碰	duo
磅	dup
冭	duu
磁	dux
厩	dvc
肆	dvf
碌	dvi
奉	dwf
奏	dwg
仄	dwi
	dwi
春	dwj
秦	dwt
雁	dww
礁	dwy
龚	dxa
聋	dxb
㔫	dxb
龙	dxe
垄	dxf
䂗	dxn
砒	dxx
袭	dxy
硫	dyc
䂴	dyg
太	dyi
丈	dyi
态	dyn
矿	dyt
碎	dyw
砇	dyy
腻	eaf
肛	eag
腊	eaj
服	ebc
孕	ebf
孚	ebf
䏪	ebg
乳	ebn
肔	ebn
夃	eci
胎	eck
盈	ecl
肥	ecn
豝	ecn
胯	edf
呄	edf
须	edm
肰	edy
月	eee
豺	eef
朋	eeg
鹏	eeq
豸	eer
肜	eet
豚	eey
豩	eey
肢	efc
肚	efg
䝅	efg
肝	efh
膨	efk
脖	efp
寽	efu
肤	efw
肘	efy
县	egc
且	egd
脯	ege
胚	egi
助	egl
肺	egm
胰	egx
丯	ehk
辵	ehu
膛	eip
尕	eiu
㸓	ejf
胆	ejg
刖	ejh
腥	ejt
肿	ekh
盁	elf
䀃	elf
胛	elh
肋	elt
爵	elv
胁	elw
腆	ema
股	emc
肌	emn
觅	emq
㐍	enb
肊	enn
肠	enr
乃	ent
甩	env
脒	eoy
受	epc
爱	epd
迌	epd
脓	epe
辸	epe
逐	epi
腕	epq
胺	epv
腔	epw
脆	eqd
胞	eqn
胸	eqq
胉	erg
肵	erh
腺	eri
遥	erm
脾	ert
彩	ese
膘	esf
采	esu
朶	esu
腰	esv
膝	esw
胀	eta
胜	etg
腹	etj
胳	etk
腾	eud
胖	euf
䏠	eug
臆	euj
脱	euk
膀	eup
胶	euq
腿	eve
妥	evf
舀	evf
肗	evg
肍	evn
脸	ewg
脂	exj
脑	eyb
脏	eyf
及	eyi
豖	eyi
脐	eyj
肮	eym
肪	eyt
腑	eyw
臃	eyx
堪	fad
霸	faf
卋	faf
	fai
卉	faj
哉	fak
载	fal
栽	fas
截	faw
裁	fay
邗	fbh
壭	fbj
凷	fbk
地	fbn
却	fcb
动	fcl
翅	fcn
运	fcp
魂	fcr
埃	fct
去	fcu
支	fcu
云	fcu
震	fdf
雼	fdf
坧	fdg
需	fdm
城	fdn
圾	fey
坛	ffc
圭	fff
亖	fff
填	ffh
款	ffi
堵	fft
寺	ffu
博	fge
二	fgg
十	fgh
坏	fgi
埂	fgj
坪	fgu
越	fha
趣	fhb
坡	fhc
直	fhf
㱏	fhf
址	fhg
圵	fhg
赴	fhh
趟	fhi
亍	fhk
盐	fhl
起	fhn
赵	fhq
走	fhu
超	fhv
真	fhw
圤	fhy
霄	fie
未	fii
示	fiu
求	fiy
朝	fje
埋	fjf
坦	fjg
刊	fjh
刌	fjh
亓	fjj
	fjj
井	fjk
塌	fjn
进	fjp
乾	fjt
翰	fjw
袁	fke
吉	fkf
圳	fkh
喜	fku
雷	flf
㿻	flf
㔹	flt
㘦	flt
协	flw
圸	fmh
击	fmk
垛	fms
南	fmu
坝	fmy
垻	fmy
㐊	fnb
㐋	fnb
䨒	fnf
韦	fnh
霹	fnk
圯	fnn
圮	fnn
圠	fnn
声	fnr
志	fnu
忈	fnu
亏	fnv
亐	fnv
块	fnw
专	fny
郝	fob
赫	fof
赦	fot
赤	fou
灻	fou
㶣	fou
勃	fpb
壹	fpg
过	fpi
辻	fpk
迀	fpk
壳	fpm
壶	fpo
索	fpx
元	fqb
圥	fqb
顽	fqd
雹	fqn
远	fqp
均	fqu
无	fqv
坎	fqw
垢	frg
圻	frh
霜	fsh
圢	fsh
坷	fsk
霖	fss
雬	fsu
孝	ftb
才	fte
耂	fte
考	ftg
者	ftj
雾	ftl
老	ftx
坆	fty
攼	fty
丧	fue
幸	fuf
雴	fuf
垃	fug
垶	fuh
境	fuj
培	fuk
增	ful
墒	fum
雪	fvf
霓	fvq
替	fwf
夫	fwi
规	fwm
埠	fwn
堆	fwy
墩	fyb
霅	fyf
圡	fyi
壤	fyk
坑	fym
壕	fyp
雱	fyr
坊	fyt
圹	fyt
雯	fyu
塘	fyv
坟	fyy
邢	gab
形	gae
玒	gag
武	gah
弄	gaj
开	gak
珥	gbg
㺭	gbg
屯	gbn
至	gcf
玛	gcg
㺨	gcy
瑚	gde
天	gdi
蚕	gdj
吞	gdk
㺯	gdu
㺴	gdy
青	gef
玥	geg
甫	geh
静	geq
瑶	ger
表	geu
琢	gey
珐	gfc
玕	gfh
球	gfi
于	gfk
盂	gfl
迂	gfp
玩	gfq
琶	ggc
王	ggg
五	ggh
环	ggi
一	ggl
瑟	ggn
琴	ggw
琵	ggx
玻	ghc
正	ghd
㠪	ghd
焉	ghg
㺺	ghg
下	ghi
丅	ghk
政	ght
㺪	ghy
甭	gie
歪	gig
不	gii
否	gik
琐	gim
还	gip
理	gjf
惠	gjh
刬	gjh
㺫	gjh
丌	gjk
更	gjq
吾	gkf
囊	gkh
玔	gkh
束	gki
卅	gkk
副	gkl
融	gkm
带	gkp
吏	gkq
豆	gku
事	gkv
画	glb
盏	glf
玾	glh
柬	gli
卌	glk
玏	glt
曹	gma
瑞	gmd
再	gmf
刺	gmi
珊	gmm
玑	gmn
现	gmq
责	gmu
丙	gmw
丽	gmy
珼	gmy
㐏	gnb
与	gng
珝	gng
㝳	gni
瓦	gnn
玌	gnn
玘	gnn
戸	gnr
忢	gnu
丂	gnv
严	god
亚	gog
来	goi
灭	goi
辷	gpd
迋	gpd
殆	gqc
殖	gqf
残	gqg
琻	gqg
歹	gqi
列	gqj
殃	gqm
殉	gqq
殊	gqr
歼	gqt
兀	gqv
兀	gqv
死	gqx
玖	gqy
碧	grd
珀	grg
珠	gri
瑰	grq
玎	gsh
末	gsi
琳	gss
麦	gtu
玫	gty
平	guh
夹	guw
妻	gvh
珍	gwe
兲	gwu
玲	gwy
玐	gwy
互	gxg
素	gxi
夷	gxw
毒	gxy
璃	gyb
琉	gyc
斑	gyg
琂	gyg
玉	gyi
玊	gyi
班	gyt
琅	gyv
玟	gyy
虐	haa
眶	hag
虞	hak
瞄	hal
虎	ham
虑	han
虚	hao
虍	hav
眲	hbg
颇	hcd
皮	hci
攴	hcu
䀦	hdg
非	hdh
狊	hdu
肯	hef
眀	heg
瞬	hep
睬	hes
䀐	het
歧	hfc
盰	hfh
睹	hft
睦	hfw
丄	hgd
睛	hge
凸	hgm
睫	hgv
止	hhg
䀠	hhg
目	hhh
卡	hhu
歨	hhu
卜	hhy
叔	hic
频	hid
步	hir
尗	hiu
㫖	hjf
旧	hjg
卓	hjj
桌	hjs
战	hka
占	hkf
点	hko
盀	hlf
卤	hlq
贞	hmu
凣	hmv
眠	hna
鼎	hnd
卢	hnr
瞩	hnt
忐	hnu
眯	hoy
瞎	hpd
㢟	hpv
餐	hqc
瞻	hqd
眺	hqi
歺	hqu
㱑	hqu
睁	hqv
盺	hrh
盯	hsh
睡	htf
瞅	hto
眨	htp
瞳	huj
眼	hve
齿	hwb
瞪	hwg
具	hwu
仧	hwu
盼	hwv
瞧	hwy
些	hxf
此	hxn
柴	hxs
雌	hxw
紫	hxx
眆	hyt
眩	hyx
盿	hyy
湛	iad
江	iag
漠	iaj
灌	iak
汇	ian
㲺	ian
涝	iap
沤	iaq
柒	ias
浇	iat
沏	iav
洪	iaw
㳀	iay
洱	ibg
汓	ibg
涵	ibi
凼	ibk
池	ibn
滁	ibw
渗	icd
涌	ice
泽	icf
治	ick
滩	icw
汉	icy
溤	icy
湖	ide
涯	idf
沯	idf
沽	idg
沰	idg
淹	idj
沥	idl
源	idr
涛	idt
尖	idu
汰	idy
汏	idy
汱	idy
浮	ieb
肖	ief
沮	ieg
㳉	ieg
削	iej
淫	iet
滔	iev
溪	iex
汲	iey
法	ifc
尘	iff
坔	iff
汢	ifg
汗	ifh
汁	ifh
潮	ifj
洁	ifk
污	ifn
渤	ifp
潜	ifw
添	igd
清	ige
汪	igg
滞	igk
渍	igm
沫	igs
浅	igy
滤	iha
波	ihc
泪	ihg
沚	ihg
涉	ihi
淖	ihj
沾	ihk
小	iht
消	iie
水	iii
淌	iim
沙	iit
沝	iiy
瀑	ija
沓	ijf
汨	ijg
汩	ijg
温	ijl
湿	ijo
渴	ijq
滥	ijt
混	ijx
浊	ijy
呇	ikf
溃	ikh
汌	ikh
澡	ikk
涡	ikm
涸	ild
渭	ile
泴	ilf
畄	ilf
畓	ilf
泗	ilg
沺	ilg
㳑	ilg
㳌	ilh
涟	ilp
渐	ilr
氻	ilt
泅	ilw
没	imc
湍	imd
滑	ime
油	img
汕	imh
测	imj
沿	imk
㲹	imn
浿	imy
汛	inf
汜	inn
㲸	inn
汤	inr
泌	int
泥	inx
沁	iny
淡	ioo
洣	ioy
学	ipb
	ipb
浓	ipe
尝	ipf
演	ipg
党	ipk
浑	ipl
沉	ipm
沈	ipq
滨	ipr
泞	ips
滓	ipu
深	ipw
光	iqb
沟	iqc
淆	iqd
淦	iqg
涣	iqm
泡	iqn
淘	iqr
汐	iqy
㲼	iqy
湃	ird
派	ire
泊	irg
沂	irh
汽	irn
浙	irr
激	iry
漂	isf
洒	isg
汀	ish
潭	isj
河	isk
淋	iss
漆	isw
沐	isy
活	itd
洗	itf
省	ith
洛	itk
劣	itl
澳	itm
渊	ito
泛	itp
少	itr
涤	its
海	itx
汷	ity
㳊	ity
溯	iub
滚	iuc
洋	iud
泣	iug
㳯	iuh
漳	iuj
涪	iuk
滴	ium
溢	iuw
滋	iux
溉	ivc
当	ivf
㳫	ivf
汝	ivg
沼	ivk
淄	ivl
氿	ivn
浸	ivp
染	ivs
梁	ivw
涩	ivy
沧	iwb
脊	iwe
举	iwf
洽	iwg
涂	iwt
兴	iwu
氼	iwu
汾	iwv
浴	iww
沦	iwx
淮	iwy
汃	iwy
汄	iwy
沸	ixj
涨	ixt
溺	ixu
潍	ixw
渡	iya
淳	iyb
流	iyc
注	iyg
济	iyj
沪	iyn
湾	iyo
洲	iyt
汸	iyt
㲿	iyt
尐	iyu
浪	iyv
液	iyw
汶	iyy
虹	jag
蚜	jah
蜡	jaj
㫒	jaj
蝶	jan
晓	jat
暴	jaw
最	jbc
㫗	jbf
虸	jbg
虵	jbn
肾	jce
坚	jcf
蚂	jcg
贤	jcm
蚆	jcn
竖	jcu
紧	jcx
蝴	jde
晨	jdf
蛄	jdg
䖨	jdg
蚌	jdh
旲	jdu
暖	jef
冐	jef
明	jeg
蚏	jeg
盟	jel
䖶	jey
野	jfc
里	jfd
蛙	jff
圼	jff
旰	jfh
旪	jfh
虷	jfh
昧	jfi
旱	jfj
暑	jft
时	jfy
䖞	jfy
晴	jge
旦	jgf
旺	jgg
蚟	jgg
是	jgh
量	jgj
晤	jgk
师	jgm
冒	jhf
㫔	jhf
刂	jhh
申	jhk
曱	jhk
甴	jhk
早	jhn
虲	jhy
晃	jiq
曝	jja
昌	jjf
昍	jjg
蚎	jjg
晶	jjj
蝎	jjq
䖵	jjy
蝇	jkj
蜗	jkm
曼	jlc
蛊	jlf
昷	jlf
蛼	jlh
䖬	jlh
蛔	jlk
㫑	jlt
螺	jlx
映	jmd
蚰	jmg
帅	jmh
旵	jmj
虮	jmn
蛽	jmy
蛡	jng
暇	jnh
虬	jnn
电	jnv
显	jog
炅	jou
㫧	jou
炚	joy
螟	jpj
晕	jpl
蛇	jpx
昂	jqb
晚	jqk
易	jqr
歇	jqw
蝗	jrg
昕	jrh
蚚	jrh
蛛	jri
颗	jsd
晒	jsg
虰	jsh
果	jsi
晰	jsr
杲	jsu
蚞	jsy
蜂	jtd
星	jtg
昨	jth
晌	jtm
蛾	jtr
晦	jtx
临	jty
昱	juf
暗	juj
蜕	juk
昗	juu
旯	jvb
妟	jvf
归	jvg
昭	jvk
旫	jvt
虭	jvt
蛤	jwg
㬰	jwi
㫐	jxb
昆	jxx
蛀	jyg
景	jyi
蚁	jyq
昘	jyr
旷	jyt
昉	jyt
蚄	jyt
旻	jyu
蚊	jyy
旼	jyy
嘶	kad
叿	kag
呀	kah
噶	kaj
哎	kaq
哄	kaw
咠	kbf
吇	kbg
咡	kbg
叩	kbh
吔	kbn
啊	kbs
邑	kcb
嗓	kcc
吗	kcg
吧	kcn
吮	kcq
唉	kct
唆	kcw
叹	kcy
咕	kdg
嘎	kdh
顺	kdm
㕦	kdu
咙	kdx
吠	kdy
肙	kef
咀	keg
嚼	kel
鹃	keq
吸	key
喷	kfa
吱	kfc
哇	kff
吐	kfg
叶	kfh
味	kfi
嘲	kfj
嘻	kfk
鄙	kfl
噎	kfp
哮	kft
吨	kgb
吴	kgd
哺	kge
呈	kgf
㕵	kgg
㕶	kgg
吓	kgh
呸	kgi
喇	kgk
号	kgn
哑	kgo
逞	kgp
距	kha
踊	khc
跨	khd
啃	khe
⻊	khf
践	khg
趾	khh
踢	khj
中	khk
盅	khl
跺	khm
忠	khn
踪	khp
跑	khq
跌	khr
路	kht
足	khu
跟	khv
趴	khw
嘴	khx
卟	khy
哨	kie
吵	kit
哩	kjf
呻	kjh
唱	kjj
喝	kjq
虽	kju
骂	kkc
器	kkd
吕	kkf
吅	kkg
串	kkh
品	kkk
咒	kkm
咽	kld
嘿	klf
呬	klg
呷	klh
唓	klh
别	klj
咖	klk
另	klr
叻	klt
嗣	kma
郧	kmb
喘	kmd
吊	kmh
勋	kml
叽	kmn
员	kmu
呐	kmw
呗	kmy
叼	kng
叫	knh
嘱	knt
㕧	knt
呢	knx
吣	kny
咪	koy
吙	koy
喧	kpg
喀	kpt
兄	kqb
唫	kqg
史	kqi
唤	kqm
咆	kqn
哆	kqq
吻	kqr
吹	kqw
鸣	kqy
㕷	krg
听	krh
啪	krr
啤	krt
啦	kru
哂	ksg
叮	ksh
喳	ksj
呵	ksk
呆	ksu
㕲	ksy
噬	kta
唾	ktf
咱	kth
咯	ktk
响	ktm
吃	ktn
哦	ktr
呼	ktu
呚	kty
咊	kty
㕸	kug
㖕	kuh
啼	kup
咬	kuq
哪	kvf
啸	kvi
㕤	kvn
叧	kvr
叨	kvt
呛	kwb
嗡	kwc
咐	kwf
哈	kwg
喉	kwn
只	kwu
吩	kwv
哗	kwx
叭	kwy
㕥	kwy
叱	kxn
哟	kxq
吆	kxy
哼	kyb
唁	kyg
嚷	kyk
吭	kym
咏	kyn
嚎	kyp
嘛	kys
㕫	kyt
呅	kyy
㘟	lak
囝	lbd
轻	lca
轰	lcc
囜	lci
㘝	lci
固	ldd
罟	ldf
