的	〔白勹丶-·-rqyy〕
去	〔土厶-·-fcu〕
物	〔勹-·-trqr〕
把	〔-·-rcn〕
本	〔一-·-sgd〕
好	〔女-·-vbg〕
水	〔-·-iiii〕
制	〔冂丨刂-·-rmhj〕
体	〔亻一-·-wsgg〕
开	〔一-·-gak〕
业	〔一-·-ogd〕
重	〔一日土-·-tgjf〕
使	〔亻一口-·-wgkq〕
天	〔一大-·-gdi〕
然	〔-·-qdou〕
些	〔-·-hxff〕
量	〔日一日土-·-jgjf〕
前	〔⺝刂-·-uejj〕
四	〔丨一-·-lhng〕
那	〔-·-vfbh〕
外	〔-·-qhy〕
事	〔一口-·-gkvh〕
它	〔-·-pxb〕
名	〔口-·-qkf〕
合	〔人一口-·-wgkf〕
因	〔囗大-·-ldi〕
应	〔-·-yid〕
由	〔丨一-·-mhng〕
其	〔-·-adwu〕
日	〔日日日日-·-jjjj〕
性	〔-·-ntgg〕
社	〔丶土-·-pyfg〕
义	〔丶-·-yqi〕
全	〔人王-·-wgf〕
样	〔-·-sudh〕
政	〔一-·-ghty〕
表	〔-·-geu〕
机	〔-·-smn〕
关	〔大-·-udu〕
新	〔-·-usrh〕
平	〔一丨-·-guhk〕
各	〔口-·-tkf〕
相	〔-·-shg〕
间	〔门日-·-ujd〕
心	〔丶丶-·-nyny〕
正	〔一-·-ghd〕
与	〔一一-·-gngd〕
西	〔一丨一-·-sghg〕
形	〔一-·-gaet〕
反	〔-·-rci〕
看	〔-·-rhf〕
明	〔日-·-jeg〕
又	〔-·-cccc〕
么	〔厶-·-tcu〕
内	〔冂人-·-mwi〕
你	〔亻-·-wqiy〕
但	〔亻日一-·-wjgg〕
利	〔禾刂-·-tjh〕
道	〔辶-·-uthp〕
原	〔白-·-drii〕
没	〔-·-imcy〕
第	〔丨-·-txht〕
比	〔-·-xxn〕
命	〔人一口-·-wgkb〕
数	〔米女-·-ovty〕
只	〔口-·-kwu〕
线	〔-·-xgt〕
向	〔冂口-·-tmkd〕
问	〔门口-·-ukd〕
意	〔日-·-ujnu〕
站	〔口-·-uhkg〕
此	〔-·-hxn〕
或	〔口-·-akgd〕
条	〔-·-tsu〕
无	〔-·-fqv〕
公	〔厶-·-wcu〕
质	〔贝-·-rfmi〕
结	〔口-·-xfkg〕
解	〔丨-·-qevh〕
情	〔⺝-·-ngeg〕
建	〔丨-·-vfhp〕
月	〔-·-eeee〕
想	〔-·-shnu〕
很	〔-·-tvey〕
变	〔-·-yocu〕
者	〔土日-·-ftjf〕
代	〔亻-·-way〕
已	〔-·-nnnn〕
立	〔-·-uuuu〕
系	〔-·-txiu〕
军	〔-·-plj〕
最	〔日-·-jbcu〕
并	〔-·-uaj〕
提	〔日一龰-·-rjgh〕
党	〔口-·-ipkq〕
题	〔日一龰贝-·-jghm〕
气	〔-·-rnb〕
五	〔五一丨一-·-gghg〕
展	〔-·-naei〕
象	〔-·-qjeu〕
文	〔文丶一-·-yygy〕
通	〔辶-·-cepk〕
总	〔口-·-uknu〕
果	〔日-·-jsi〕
次	〔人-·-uqwy〕
员	〔口贝-·-kmu〕
革	〔-·-afj〕
活	〔-·-itdg〕
程	〔禾口王-·-tkgg〕
常	〔口丨-·-ipkh〕
头	〔大-·-udi〕
位	〔亻-·-wug〕
老	〔土-·-ftxb〕
直	〔-·-fhf〕
入	〔-·-tyi〕
特	〔土寸-·-trff〕
品	〔口口口-·-kkkf〕
件	〔亻丨-·-wrhh〕
山	〔山山山山-·-mmmm〕
见	〔-·-mqb〕
路	〔口口-·-khtk〕
求	〔丶-·-fiyi〕
管	〔-·-tpnn〕
及	〔-·-eyi〕
级	〔-·-xeyy〕
少	〔-·-itr〕
基	〔土-·-adwf〕
别	〔口力刂-·-kljh〕
设	〔-·-ymcy〕
式	〔-·-aad〕
资	〔人贝-·-uqwm〕
知	〔大口-·-tdkg〕
组	〔一-·-xegg〕
几	〔-·-mtn〕
手	〔一-·-rtgh〕
论	〔人-·-ywxn〕
统	〔厶-·-xycq〕
接	〔女-·-ruvg〕
农	〔-·-pei〕
被	〔-·-puhc〕
边	〔力辶-·-lpv〕
指	〔日-·-rxjg〕
将	〔寸-·-uqfy〕
料	〔米-·-oufh〕
九	〔-·-vtn〕
决	〔人-·-unwy〕
先	〔土-·-tfqb〕
根	〔-·-svey〕
期	〔-·-adwe〕
计	〔-·-yfh〕
强	〔口-·-xkjy〕
干	〔一一丨-·-fggh〕
战	〔口-·-hkat〕
回	〔囗口-·-lkd〕
放	〔-·-yty〕
她	〔女也-·-vbn〕
给	〔人一口-·-xwgk〕
任	〔亻-·-wtfg〕
运	〔厶辶-·-fcpi〕
做	〔亻-·-wdty〕
必	〔-·-nte〕
流	〔厶-·-iycq〕
区	〔-·-aqi〕
取	〔-·-bcy〕
门	〔门丶丨-·-uyhn〕
处	〔-·-thi〕
据	〔-·-rndg〕
南	〔冂-·-fmuf〕
则	〔贝刂-·-mjh〕
队	〔人-·-bwy〕
图	〔囗-·-ltui〕
北	〔-·-uxn〕
百	〔日-·-djf〕
光	〔-·-iqb〕
治	〔厶口-·-ickg〕
东	〔-·-aii〕
保	〔亻口-·-wksy〕
志	〔-·-fnu〕
较	〔-·-luqy〕
领	〔人丶贝-·-wycm〕
海	〔-·-itxu〕
口	〔口口口口-·-kkkk〕
七	〔一-·-agn〕
导	〔寸-·-nfu〕
调	〔土口-·-ymfk〕
即	〔-·-vcbh〕
什	〔亻-·-wfh〕
造	〔土口辶-·-tfkp〕
金	〔-·-qqqq〕
吃	〔口-·-ktnn〕
规	〔人-·-fwmq〕
争	〔-·-qvhj〕
思	〔-·-lnu〕
世	〔-·-anv〕
共	〔-·-awu〕
六	〔丶一-·-uygy〕
认	〔人-·-ywy〕
交	〔-·-uqu〕
受	〔-·-epcu〕
阶	〔人-·-bwjh〕
色	〔-·-qcb〕
联	〔大-·-budy〕
极	〔-·-seyy〕
美	〔王大-·-ugdu〕
济	〔文-·-iyjh〕
更	〔一日-·-gjqi〕
打	〔-·-rsh〕
改	〔-·-nty〕
再	〔一冂土-·-gmfd〕
增	〔土日-·-fulj〕
收	〔𠄌丨-·-nhty〕
清	〔⺝-·-igeg〕
切	〔-·-avn〕
真	〔-·-fhwu〕
教	〔土-·-ftbt〕
场	〔土-·-fnrt〕
权	〔-·-scy〕
安	〔女-·-pvf〕
万	〔-·-dnv〕
术	〔丶-·-syi〕
证	〔一-·-yghg〕
身	〔-·-tmdt〕
务	〔力-·-tlb〕
走	〔土龰-·-fhu〕
带	〔一丨-·-gkph〕
斗	〔-·-ufk〕
角	〔-·-qej〕
单	〔日-·-ujfj〕
花	〔亻-·-awxb〕
目	〔-·-hhhh〕
完	〔-·-pfqb〕
声	〔-·-fnr〕
热	〔丶-·-rvyo〕
报	〔-·-rbcy〕
八	〔-·-wty〕
白	〔白白白白-·-rrrr〕
才	〔-·-fte〕
具	〔-·-hwu〕
至	〔一厶土-·-gcff〕
张	〔-·-xtay〕
马	〔一-·-cnng〕
每	〔一-·-txgu〕
话	〔-·-ytdg〕
达	〔大辶-·-dpi〕
转	〔丶-·-lfny〕
议	〔丶-·-yyqy〕
科	〔禾-·-tufh〕
器	〔口口口-·-kkdk〕
示	〔-·-fiu〕
确	〔-·-dqeh〕
许	〔-·-ytfh〕
今	〔人丶-·-wynb〕
例	〔亻一刂-·-wgqj〕
集	〔亻-·-wysu〕
信	〔亻-·-wyg〕
记	〔-·-ynn〕
积	〔禾口-·-tkwy〕
群	〔口-·-vtkd〕
步	〔-·-hir〕
整	〔一口-·-gkih〕
广	〔丶一-·-yygt〕
风	〔-·-mqi〕
传	〔亻丶-·-wfny〕
界	〔人-·-lwjj〕
华	〔亻-·-wxfj〕
且	〔一-·-egd〕
元	〔-·-fqb〕
离	〔文冂厶-·-ybmc〕
压	〔土丶-·-dfyi〕
研	〔一-·-dgah〕
究	〔-·-pwvb〕
况	〔口-·-ukqn〕
书	〔丨丶-·-nnhy〕
拉	〔-·-rug〕
类	〔米大-·-odu〕
节	〔-·-abj〕
采	〔-·-esu〕
观	〔-·-cmqn〕
越	〔土龰-·-fhat〕
众	〔人人人-·-wwwu〕
持	〔土寸-·-rffy〕
叫	〔口𠄌丨-·-knhh〕
油	〔-·-img〕
速	〔一口辶-·-gkip〕
织	〔口-·-xkwy〕
林	〔-·-ssy〕
段	〔-·-wdmc〕
难	〔亻-·-cwyg〕
需	〔冂-·-fdmj〕
非	〔-·-djdd〕
复	〔日-·-tjtu〕
儿	〔-·-qtn〕
律	〔丨-·-tvfh〕
布	〔𠂇冂丨-·-dmhj〕
际	〔-·-bfiy〕
连	〔辶-·-lpk〕
算	〔-·-thaj〕
深	〔-·-ipws〕
容	〔人口-·-pwwk〕
千	〔-·-tfk〕
近	〔辶-·-rpk〕
周	〔土口-·-mfkd〕
影	〔日-·-jyie〕
断	〔米-·-onrh〕
己	〔一-·-nngn〕
办	〔力-·-lwi〕
须	〔贝-·-edmy〕
商	〔冂口-·-umwk〕
石	〔一一-·-dgtg〕
青	〔⺝-·-gef〕
米	〔米丶-·-oyty〕
便	〔亻一日-·-wgjq〕
感	〔一口-·-dgkn〕
省	〔-·-ithf〕
支	〔-·-fcu〕
何	〔亻口-·-wskg〕
团	〔囗-·-lfte〕
验	〔人一-·-cwgi〕
半	〔-·-ufk〕
往	〔丶王-·-tygg〕
约	〔勹丶-·-xqyy〕
太	〔大丶-·-dyi〕
克	〔-·-dqb〕
劳	〔力-·-aplb〕
历	〔力-·-dlv〕
备	〔-·-tlf〕
列	〔一刂-·-gqjh〕
低	〔亻丶-·-wqay〕
委	〔禾女-·-tvf〕
市	〔冂丨-·-ymhj〕
史	〔口-·-kqi〕
响	〔口冂口-·-ktmk〕
准	〔亻-·-uwyg〕
精	〔米⺝-·-ogeg〕
习	〔-·-nud〕
消	〔⺝-·-iieg〕
写	〔一一-·-pgng〕
候	〔亻丨大-·-whnd〕
土	〔土土土土-·-ffff〕
称	〔禾-·-tqiy〕
技	〔-·-rfcy〕
空	〔-·-pwaf〕
府	〔亻寸-·-ywfi〕
亲	〔-·-usu〕
毛	〔-·-tfnv〕
温	〔日-·-ijlg〕
率	〔-·-yxif〕
院	〔-·-bpfq〕
划	〔刂-·-ajh〕
装	〔-·-ufye〕
存	〔𠂇丨-·-dhbd〕
眼	〔-·-hvey〕
快	〔人-·-nnwy〕
标	〔-·-sfiy〕
值	〔亻-·-wfhg〕
族	〔大-·-yttd〕
王	〔王王王王-·-gggg〕
查	〔日一-·-sjgf〕
江	〔-·-iag〕
斯	〔-·-adwr〕
素	〔-·-gxiu〕
却	〔土厶-·-fcbh〕
除	〔人-·-bwty〕
号	〔口一-·-kgnb〕
住	〔亻丶王-·-wygg〕
格	〔口-·-stkg〕
参	〔厶大-·-cder〕
满	〔一人-·-iagw〕
始	〔女厶口-·-vckg〕
般	〔-·-temc〕
包	〔勹-·-qnv〕
识	〔口-·-ykwy〕
专	〔丶-·-fnyi〕
京	〔-·-yiu〕
照	〔日口-·-jvko〕
车	〔一丨-·-lgnh〕
按	〔女-·-rpvg〕
选	〔土辶-·-tfqp〕
火	〔-·-oooo〕
易	〔日勹-·-jqrr〕
厂	〔一-·-dgt〕
听	〔口-·-krh〕
该	〔人-·-yynw〕
红	〔-·-xag〕
属	〔口丶-·-ntky〕
维	〔亻-·-xwyg〕
县	〔一厶-·-egcu〕
严	〔一-·-godr〕
派	〔-·-irey〕
局	〔口-·-nnkd〕
讲	〔-·-yfjh〕
呢	〔口-·-knxn〕
继	〔米-·-xonn〕
首	〔-·-uthf〕
片	〔丨一-·-thgn〕
构	〔勹厶-·-sqcy〕
女	〔女女女女-·-vvvv〕
德	〔-·-tfln〕
死	〔一-·-gqxb〕
效	〔-·-uqty〕
谈	〔-·-yooy〕
失	〔人-·-rwi〕
神	〔丶日丨-·-pyjh〕
望	〔𠄌王-·-yneg〕
价	〔亻人-·-wwjh〕
铁	〔人-·-qrwy〕
酸	〔一厶-·-sgct〕
底	〔丶-·-yqay〕
黄	〔-·-amwu〕
随	〔𠂇⺝辶-·-bdep〕
苏	〔力-·-alwu〕
引	〔丨-·-xhh〕
推	〔亻-·-rwyg〕
艺	〔-·-anb〕
尔	〔-·-qiu〕
官	〔丨-·-pnhn〕
适	〔辶-·-tdpd〕
批	〔-·-rxxn〕
英	〔大-·-amdu〕
告	〔土口-·-tfkf〕
席	〔冂丨-·-yamh〕
举	〔丨-·-iwfh〕
李	〔-·-sbf〕
师	〔一冂丨-·-jgmh〕
势	〔丶力-·-rvyl〕
细	〔-·-xlg〕
帮	〔丨-·-dtbh〕
显	〔日一-·-jogf〕
项	〔贝-·-admy〕
状	〔-·-udy〕
字	〔-·-pbf〕
育	〔厶⺝-·-ycef〕
层	〔厶-·-nfci〕
破	〔-·-dhcy〕
落	〔口-·-aitk〕
怎	〔丨-·-thfn〕
营	〔口口-·-apkk〕
远	〔辶-·-fqpv〕
士	〔一丨一-·-fghg〕
台	〔厶口-·-ckf〕
企	〔人-·-whf〕
爱	〔𠂇-·-epdc〕
言	〔-·-yyyy〕
河	〔口-·-iskg〕
配	〔一-·-sgnn〕
围	〔囗丨-·-lfnh〕
型	〔一刂土-·-gajf〕
服	〔-·-ebcy〕
朝	〔-·-fjeg〕
轻	〔-·-lcag〕
紧	〔-·-jcxi〕
武	〔一-·-gahd〕
仅	〔亻-·-wcy〕
另	〔口力-·-klb〕
章	〔-·-ujj〕
亚	〔一一-·-gogd〕
视	〔丶-·-pymq〕
封	〔土土寸-·-fffy〕
密	〔山-·-pntm〕
注	〔丶王-·-iygg〕
材	〔-·-sftt〕
案	〔女-·-pvsu〕
供	〔亻-·-wawy〕
止	〔丨丨一-·-hhhg〕
木	〔-·-ssss〕
续	〔大-·-xfnd〕
早	〔丨丨-·-jhnh〕
防	〔-·-byn〕
护	〔丶-·-rynt〕
判	〔𠂇刂-·-udjh〕
态	〔大丶-·-dynu〕
司	〔一口-·-ngkd〕
固	〔囗-·-ldd〕
似	〔亻𠄌丶人-·-wnyw〕
罪	〔-·-ldjd〕
黑	〔土-·-lfou〕
充	〔厶-·-ycqb〕
兴	〔-·-iwu〕
某	〔-·-afsu〕
树	〔寸-·-scfy〕
击	〔山-·-fmk〕
致	〔一厶土-·-gcft〕
圆	〔囗口贝-·-lkmi〕
液	〔亻丶-·-iywy〕
音	〔日-·-ujf〕
坚	〔土-·-jcff〕
足	〔口龰-·-khu〕
负	〔贝-·-qmu〕
害	〔丨口-·-pdhk〕
含	〔人丶口-·-wynk〕
余	〔人-·-wtu〕
夫	〔人-·-fwi〕
排	〔-·-rdjd〕
费	〔贝-·-xjmu〕
源	〔白-·-idri〕
觉	〔-·-ipmq〕
范	〔-·-aibb〕
左	〔𠂇-·-daf〕
够	〔勹口-·-qkqq〕
差	〔-·-udaf〕
城	〔土-·-fdnt〕
春	〔人日-·-dwjf〕
食	〔人丶-·-wyve〕
兵	〔一-·-rgwu〕
施	〔也-·-ytbn〕
富	〔一口-·-pgkl〕
均	〔土勹-·-fqug〕
置	〔-·-lfhf〕
减	〔一-·-udgt〕
故	〔-·-dty〕
虽	〔口-·-kju〕
曾	〔日-·-uljf〕
占	〔口-·-hkf〕
送	〔大辶-·-udpi〕
笑	〔大-·-ttdu〕
试	〔-·-yaag〕
职	〔口-·-bkwy〕
氧	〔-·-rnud〕
阳	〔日-·-bjg〕
汉	〔-·-icy〕
留	〔丶-·-qyvl〕
跟	〔口-·-khve〕
修	〔亻丨-·-whte〕
巴	〔丨-·-cnhn〕
创	〔人刂-·-wbjh〕
助	〔力-·-egln〕
未	〔-·-fii〕
犯	〔-·-qtbn〕
初	〔-·-puvn〕
功	〔力-·-aln〕
抗	〔-·-rymn〕
田	〔-·-llll〕
坏	〔土一-·-fgiy〕
降	〔丨-·-btah〕
古	〔一丨一-·-dghg〕
尽	〔-·-nyuu〕
互	〔一一-·-gxgd〕
财	〔贝-·-mftt〕
溶	〔口-·-ipwk〕
病	〔一冂人-·-ugmw〕
叶	〔口-·-kfh〕
投	〔-·-rmcy〕
策	〔一冂-·-tgmi〕
责	〔贝-·-gmu〕
波	〔-·-ihcy〕
令	〔人丶-·-wycu〕
独	〔-·-qtjy〕
考	〔土一-·-ftgn〕
右	〔𠂇口-·-dkf〕
请	〔⺝-·-ygeg〕
球	〔王丶-·-gfiy〕
让	〔⺊-·-yhg〕
副	〔一口刂-·-gklj〕
双	〔-·-ccy〕
检	〔人一-·-swgi〕
宜	〔一-·-pegf〕
杂	〔-·-vsu〕
钱	〔-·-qgt〕
述	〔丶辶-·-sypi〕
限	〔-·-bvey〕
简	〔门日-·-tujf〕
找	〔-·-rat〕
冲	〔口丨-·-ukhh〕
端	〔山-·-umdj〕
输	〔人一刂-·-lwgj〕
倒	〔亻一厶刂-·-wgcj〕
养	〔-·-udyj〕
敌	〔-·-tdty〕
阿	〔口-·-bskg〕
超	〔土龰口-·-fhvk〕
换	〔大-·-rqmd〕
州	〔丶丶丨-·-ytyh〕
胜	〔-·-etgg〕
帝	〔冂丨-·-upmh〕
依	〔亻-·-wyey〕
坐	〔人人土-·-wwff〕
纪	〔-·-xnn〕
突	〔-·-pwdu〕
念	〔人丶-·-wynn〕
客	〔口-·-ptkf〕
绝	〔-·-xqcn〕
升	〔-·-tak〕
陈	〔-·-baiy〕
略	〔口-·-ltkg〕
益	〔-·-uwlf〕
否	〔一口-·-gikf〕
罗	〔-·-lqu〕
仍	〔亻-·-wen〕
吸	〔口-·-keyy〕
苦	〔-·-adf〕
错	〔日-·-qajg〕
承	〔-·-bdii〕
友	〔𠂇-·-dcu〕
草	〔-·-ajj〕
夜	〔亻丶-·-ywty〕
微	〔山一-·-tmgt〕
优	〔亻-·-wdnn〕
画	〔一-·-glbj〕
础	〔山-·-dbmh〕
协	〔力-·-flwy〕
良	〔丶-·-yvei〕
射	〔寸-·-tmdf〕
曲	〔-·-mad〕
洋	〔-·-iudh〕
村	〔寸-·-sfy〕
矿	〔-·-dyt〕
终	〔-·-xtuy〕
轮	〔人-·-lwxn〕
块	〔土人-·-fnwy〕
环	〔王一-·-ggiy〕
析	〔-·-srh〕
径	〔-·-tcag〕
哪	〔口-·-kvfb〕
烈	〔一刂-·-gqjo〕
校	〔-·-suqy〕
板	〔-·-srcy〕
云	〔厶-·-fcu〕
诉	〔丶-·-yryy〕
既	〔-·-vcaq〕
迅	〔辶-·-nfpk〕
刻	〔刂-·-yntj〕
靠	〔土口-·-tfkd〕
察	〔-·-pwfi〕
逐	〔辶-·-epi〕
央	〔大-·-mdi〕
待	〔土寸-·-tffy〕
母	〔一-·-xgui〕
境	〔土日-·-fujq〕
激	〔白-·-iryt〕
渤	〔力-·-ifpl〕
模	〔日大-·-sajd〕
控	〔-·-rpwa〕
卫	〔一-·-bgd〕
久	〔-·-qyi〕
印	〔一-·-qgbh〕
房	〔丶-·-ynyv〕
停	〔亻-·-wyps〕
甚	〔-·-adwn〕
皮	〔-·-hci〕
洲	〔丶丨-·-iyth〕
搞	〔冂口-·-rymk〕
息	〔-·-thnu〕
移	〔禾-·-tqqy〕
旧	〔丨日-·-hjg〕
拿	〔人一口-·-wgkr〕
若	〔𠂇口-·-adkf〕
顶	〔贝-·-sdmy〕
短	〔大一-·-tdgu〕
湖	〔-·-ideg〕
括	〔-·-rtdg〕
挥	〔-·-rplh〕
侵	〔亻-·-wvpc〕
甲	〔丨丨-·-lhnh〕
游	〔-·-iytb〕
语	〔五口-·-ygkg〕
冷	〔人丶-·-uwyc〕
普	〔一日-·-uogj〕
银	〔-·-qvey〕
乐	〔-·-qii〕
医	〔大-·-atdi〕
烧	〔-·-oatq〕
刘	〔文刂-·-yjh〕
吗	〔口-·-kcg〕
针	〔-·-qfh〕
纸	〔-·-xqan〕
粉	〔米-·-owvn〕
散	〔⺝-·-aety〕
急	〔-·-qvnu〕
预	〔贝-·-cbdm〕
扩	〔-·-ryt〕
愿	〔白-·-drin〕
核	〔人-·-synw〕
吧	〔口-·-kcn〕
龙	〔-·-dxv〕
误	〔口一大-·-ykgd〕
欢	〔人-·-cqwy〕
孩	〔人-·-bynw〕
盐	〔土-·-fhlf〕
善	〔口-·-uduk〕
雨	〔一丨丶-·-fghy〕
货	〔亻贝-·-wxmu〕
讨	〔寸-·-yfy〕
测	〔贝刂-·-imjh〕
丝	〔一-·-xxgf〕
室	〔一厶土-·-pgcf〕
混	〔日-·-ijxx〕
弹	〔日-·-xujf〕
乎	〔-·-tuhk〕
鲜	〔-·-qgud〕
晚	〔日口-·-jqkq〕
乱	〔-·-tdnn〕
沙	〔-·-iitt〕
序	〔-·-ycbk〕
缺	〔山人-·-rmnw〕
获	〔-·-aqtd〕
读	〔大-·-yfnd〕
鲁	〔一日-·-qgjf〕
载	〔-·-falk〕
渐	〔-·-ilrh〕
父	〔-·-wqu〕
啊	〔口口-·-kbsk〕
演	〔一-·-ipgw〕
刚	〔冂刂-·-mqjh〕
守	〔寸-·-pfu〕
宁	〔-·-psj〕
杀	〔-·-qsu〕
谓	〔⺝-·-yleg〕
刑	〔一刂-·-gajh〕
附	〔亻寸-·-bwfy〕
担	〔日一-·-rjgg〕
贵	〔口丨一贝-·-khgm〕
班	〔王丶王-·-gytg〕
稳	〔禾-·-tqvn〕
钢	〔冂-·-qmqy〕
迫	〔白辶-·-rpd〕
答	〔人一口-·-twgk〕
距	〔口-·-khan〕
药	〔勹丶-·-axqy〕
假	〔亻丨-·-wnhc〕
毫	〔-·-yptn〕
兰	〔-·-uff〕
喜	〔口口-·-fkuk〕
练	〔-·-xanw〕
乙	〔囗囗-·-nnll〕
酒	〔一-·-isgg〕
盾	〔-·-rfhd〕
困	〔囗-·-lsi〕
买	〔大-·-nudu〕
福	〔丶一-·-pygl〕
征	〔一-·-tghg〕
阻	〔一-·-begg〕
损	〔口贝-·-rkmy〕
介	〔人-·-wjj〕
剂	〔文刂-·-yjjh〕
穿	〔-·-pwat〕
钟	〔口丨-·-qkhh〕
顺	〔贝-·-kdmy〕
飞	〔-·-nui〕
丰	〔丨-·-dhk〕
怕	〔白-·-nrg〕
祖	〔丶一-·-pyeg〕
矛	〔-·-cbtr〕
执	〔丶-·-rvyy〕
星	〔日-·-jtgf〕
谁	〔亻-·-ywyg〕
血	〔-·-tld〕
背	〔⺝-·-uxef〕
掌	〔口-·-ipkr〕
脱	〔口-·-eukq〕
希	〔𠂇冂丨-·-qdmh〕
评	〔一丨-·-yguh〕
沉	〔-·-ipmn〕
概	〔-·-svcq〕
跑	〔口勹-·-khqn〕
熟	〔-·-ybvo〕
伤	〔亻力-·-wtln〕
衣	〔-·-yeu〕
械	〔-·-saah〕
烟	〔囗大-·-oldy〕
审	〔日丨-·-pjhj〕
扬	〔-·-rnrt〕
翻	〔米-·-toln〕
秋	〔禾-·-toy〕
露	〔口口-·-fkhk〕
慢	〔日-·-njlc〕
静	〔⺝-·-geqh〕
免	〔口-·-qkqb〕
促	〔亻口龰-·-wkhy〕
践	〔口-·-khgt〕
脚	〔土厶-·-efcb〕
妈	〔女-·-vcg〕
补	〔-·-puhy〕
薄	〔一寸-·-aigf〕
牛	〔丨-·-rhk〕
句	〔勹口-·-qkd〕
握	〔一土-·-rngf〕
编	〔丶-·-xyna〕
庆	〔大-·-ydi〕
亮	〔-·-ypmb〕
笔	〔-·-ttfn〕
居	〔-·-ndd〕
味	〔口-·-kfiy〕
映	〔日大-·-jmdy〕
斤	〔丨-·-rtth〕
培	〔土口-·-fukg〕
松	〔厶-·-swcy〕
乡	〔-·-xte〕
诗	〔土寸-·-yffy〕
异	〔-·-naj〕
孔	〔-·-bnn〕
顾	〔贝-·-dbdm〕
呼	〔口-·-ktuh〕
香	〔禾日-·-tjf〕
菜	〔-·-aesu〕
威	〔一女-·-dgvt〕
尼	〔-·-nxv〕
抓	〔丨-·-rrhy〕
攻	〔-·-aty〕
奇	〔大口-·-dskf〕
倍	〔亻口-·-wukg〕
临	〔丶-·-jtyj〕
掉	〔-·-rhjh〕
岁	〔山-·-mqu〕
脸	〔人一-·-ewgi〕
剧	〔刂-·-ndjh〕
哥	〔口口-·-sksk〕
延	〔-·-thpd〕
末	〔一-·-gsi〕
销	〔⺝-·-qieg〕
皇	〔白王-·-rgf〕
永	〔丶-·-ynii〕
汽	〔-·-irnn〕
景	〔日-·-jyiu〕
娘	〔女丶-·-vyve〕
伟	〔亻丨-·-wfnh〕
齐	〔文-·-yjj〕
陆	〔山-·-bfmh〕
赵	〔土龰-·-fhqi〕
雷	〔-·-flf〕
危	〔-·-qdbb〕
胡	〔-·-deg〕
聚	〔-·-bcti〕
硫	〔厶-·-dycq〕
束	〔一口-·-gkii〕
轴	〔-·-lmg〕
套	〔大-·-ddu〕
座	〔人人土-·-ywwf〕
粮	〔米丶-·-oyve〕
灯	〔-·-osh〕
课	〔日-·-yjsy〕
绍	〔口-·-xvkg〕
杨	〔-·-snrt〕
怀	〔一-·-ngiy〕
